"@timestamp","_index","agent.id","agent.ip","agent.name","data.dstuser","data.srcip","data.srcport","decoder.name","decoder.parent","full_log",id,"input.type",location,"manager.name","predecoder.program_name","predecoder.timestamp","rule.description","rule.firedtimes","rule.gdpr","rule.gpg13","rule.groups","rule.hipaa","rule.id","rule.level","rule.mail","rule.mitre.id","rule.mitre.tactic","rule.mitre.technique","rule.nist_800_53","rule.pci_dss","rule.tsc",timestamp
"Feb 26, 2025 @ 20:34:08.899","wazuh-archives-4.x-2025.02.26",093,"10.10.90.105",akhtar,akhtar,"10.10.90.75",50526,sshd,sshd,"2025-02-21T12:26:34.400326+05:00 akhtar-VirtualBox sshd[29839]: Accepted password for akhtar from 10.10.90.75 port 50526 ssh2","1740584048.38881",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T12:26:34.400326+05:00","sshd: authentication success.",24,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 26, 2025 @ 20:34:08.899"
"Feb 26, 2025 @ 20:34:08.736","wazuh-archives-4.x-2025.02.26",093,"10.10.90.105",akhtar,akhtar,"10.10.90.75",50518,sshd,sshd,"2025-02-21T12:23:01.984994+05:00 akhtar-VirtualBox sshd[29768]: Accepted password for akhtar from 10.10.90.75 port 50518 ssh2","1740584048.38402",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T12:23:01.984994+05:00","sshd: authentication success.",23,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 26, 2025 @ 20:34:08.736"
"Feb 26, 2025 @ 20:34:08.586","wazuh-archives-4.x-2025.02.26",093,"10.10.90.105",akhtar,akhtar,"10.10.90.75",50510,sshd,sshd,"2025-02-21T12:19:29.570469+05:00 akhtar-VirtualBox sshd[29706]: Accepted password for akhtar from 10.10.90.75 port 50510 ssh2","1740584048.36971",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T12:19:29.570469+05:00","sshd: authentication success.",22,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 26, 2025 @ 20:34:08.586"
"Feb 26, 2025 @ 20:34:08.526","wazuh-archives-4.x-2025.02.26",093,"10.10.90.105",akhtar,akhtar,"10.10.90.75",50502,sshd,sshd,"2025-02-21T12:15:57.217986+05:00 akhtar-VirtualBox sshd[29636]: Accepted password for akhtar from 10.10.90.75 port 50502 ssh2","1740584048.36492",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T12:15:57.217986+05:00","sshd: authentication success.",21,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 26, 2025 @ 20:34:08.526"
"Feb 26, 2025 @ 20:34:08.284","wazuh-archives-4.x-2025.02.26",093,"10.10.90.105",akhtar,akhtar,"10.10.90.75",50489,sshd,sshd,"2025-02-21T12:12:24.895395+05:00 akhtar-VirtualBox sshd[29574]: Accepted password for akhtar from 10.10.90.75 port 50489 ssh2","1740584048.35537",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T12:12:24.895395+05:00","sshd: authentication success.",20,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 26, 2025 @ 20:34:08.284"
"Feb 26, 2025 @ 20:34:08.225","wazuh-archives-4.x-2025.02.26",093,"10.10.90.105",akhtar,akhtar,"10.10.90.75",50475,sshd,sshd,"2025-02-21T12:08:52.552017+05:00 akhtar-VirtualBox sshd[29448]: Accepted password for akhtar from 10.10.90.75 port 50475 ssh2","1740584048.34582",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T12:08:52.552017+05:00","sshd: authentication success.",19,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 26, 2025 @ 20:34:08.225"
"Feb 26, 2025 @ 20:34:07.940","wazuh-archives-4.x-2025.02.26",093,"10.10.90.105",akhtar,akhtar,"10.10.90.75",50452,sshd,sshd,"2025-02-21T12:05:20.155059+05:00 akhtar-VirtualBox sshd[29390]: Accepted password for akhtar from 10.10.90.75 port 50452 ssh2","1740584047.33627",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T12:05:20.155059+05:00","sshd: authentication success.",18,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 26, 2025 @ 20:34:07.940"
"Feb 26, 2025 @ 20:34:07.879","wazuh-archives-4.x-2025.02.26",093,"10.10.90.105",akhtar,akhtar,"10.10.90.75",50444,sshd,sshd,"2025-02-21T12:01:47.783450+05:00 akhtar-VirtualBox sshd[29313]: Accepted password for akhtar from 10.10.90.75 port 50444 ssh2","1740584047.32672",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T12:01:47.783450+05:00","sshd: authentication success.",17,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 26, 2025 @ 20:34:07.879"
"Feb 26, 2025 @ 20:34:07.518","wazuh-archives-4.x-2025.02.26",093,"10.10.90.105",akhtar,akhtar,"10.10.90.75",50435,sshd,sshd,"2025-02-21T11:58:15.459553+05:00 akhtar-VirtualBox sshd[29168]: Accepted password for akhtar from 10.10.90.75 port 50435 ssh2","1740584047.30779",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T11:58:15.459553+05:00","sshd: authentication success.",16,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 26, 2025 @ 20:34:07.518"
"Feb 26, 2025 @ 20:34:07.444","wazuh-archives-4.x-2025.02.26",093,"10.10.90.105",akhtar,akhtar,"10.10.90.75",50427,sshd,sshd,"2025-02-21T11:54:43.097570+05:00 akhtar-VirtualBox sshd[29085]: Accepted password for akhtar from 10.10.90.75 port 50427 ssh2","1740584047.29824",log,"/var/log/auth.log","wazuh-VirtualBox",sshd,"2025-02-21T11:54:43.097570+05:00","sshd: authentication success.",15,"IV_32.2","7.1, 7.2","syslog, sshd, authentication_success","164.312.b",5715,3,false,"T1078, T1021","Defense Evasion, Persistence, Privilege Escalation, Initial Access, Lateral Movement","Valid Accounts, Remote Services","AU.14, AC.7","10.2.5","CC6.8, CC7.2, CC7.3","Feb 26, 2025 @ 20:34:07.444"
